task,cluster_numbers,decision_tree_accuracy,ripper_accuracy
kandinsky_twopairs_50,9,0.55,0.5
kandinsky_twopairs_50,9,0.4,0.45
kandinsky_twopairs_50,9,0.45,0.4
kandinsky_twopairs_50,9,0.5,0.55
kandinsky_twopairs_50,9,0.45,0.5
kandinsky_onered_4to1,9,0.6875,0.75
kandinsky_onered_4to1,9,0.8125,0.9375
kandinsky_onered_4to1,9,0.75,0.625
kandinsky_onered_4to1,9,0.75,1.0
kandinsky_onered_4to1,9,0.625,0.9375
kandinsky_onetriangle_4to1,9,0.6153846153846154,0.6923076923076923
kandinsky_onetriangle_4to1,9,0.7692307692307693,0.9230769230769231
kandinsky_onetriangle_4to1,9,0.9230769230769231,0.9230769230769231
kandinsky_onetriangle_4to1,9,0.7692307692307693,0.9230769230769231
kandinsky_onetriangle_4to1,9,0.6153846153846154,0.5384615384615384
kandinsky_twopairs_50,9,0.6,0.55
kandinsky_twopairs_50,9,0.65,0.65
kandinsky_twopairs_50,9,0.6,0.5
kandinsky_twopairs_50,9,0.6,0.45
kandinsky_twopairs_50,9,0.6,0.7
kandinsky_onered_4to1,9,1.0,1.0
kandinsky_onered_4to1,9,1.0,1.0
kandinsky_twopairs_50,9,0.6,0.6
kandinsky_twopairs_50,9,0.4,0.7
kandinsky_twopairs_50,9,0.6,0.7
kandinsky_twopairs_50,9,0.6,0.6
kandinsky_twopairs_50,9,0.6,0.65
kandinsky_onered_4to1,9,1.0,1.0
kandinsky_onered_4to1,9,1.0,1.0
kandinsky_onered_4to1,9,1.0,1.0
kandinsky_onered_4to1,9,1.0,1.0
kandinsky_onered_4to1,9,0.875,0.875
kandinsky_onetriangle_4to1,9,1.0,1.0
kandinsky_onetriangle_4to1,9,1.0,1.0
kandinsky_onetriangle_4to1,9,0.9230769230769231,0.8461538461538461
kandinsky_onetriangle_4to1,9,1.0,1.0
kandinsky_onetriangle_4to1,9,1.0,1.0
